id,state,district,village,crop_recommended,N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,temperature,humidity,rainfall,latitude,longitude,soil_type,season,year
SHC000655,Haryana,Ambala,Village_655,chickpea,94.03,30.78,38.46,7.39,0.1,0.95,1.65,0.77,5.71,0.23,2.32,0.3,20.5,59.5,419.8,9.2346,95.4154,Black,Rabi,2024
SHC000656,Haryana,Kurukshetra,Village_656,sugarcane,177.94,57.78,262.5,8.13,1.3,2.01,25.0,2.83,15.67,1.87,6.26,1.0,32.3,92.5,2140.6,24.1515,79.3069,Alluvial,Rabi,2022
SHC000657,Uttar Pradesh,Meerut,Village_657,wheat,97.78,45.1,31.27,5.68,0.67,0.79,6.38,0.34,5.35,0.69,3.63,0.59,14.1,39.7,218.8,25.1449,76.4579,Laterite,Zaid,2022
SHC000658,Uttar Pradesh,Agra,Village_658,lentil,71.94,27.05,40.14,6.44,0.36,0.92,10.33,0.52,5.11,0.52,1.03,0.18,23.4,49.7,473.0,8.0047,72.7156,Alluvial,Zaid,2024
SHC000659,Uttar Pradesh,Muzaffarnagar,Village_659,wheat,76.93,10.0,70.37,5.57,0.32,0.36,20.2,0.65,5.87,0.2,2.21,0.54,17.3,50.3,578.9,28.1544,94.9008,Alluvial,Zaid,2023
SHC000660,Maharashtra,Pune,Village_660,maize,170.78,62.4,97.53,7.13,1.24,1.93,25.0,2.51,9.33,1.74,6.03,0.66,27.5,75.9,896.9,15.2805,70.8322,Black,Zaid,2022
SHC000661,Maharashtra,Nagpur,Village_661,rice,246.97,35.37,102.42,5.68,0.66,0.96,15.98,0.57,7.57,1.09,2.49,0.74,19.5,73.7,1717.6,22.9403,75.1114,Red,Kharif,2023
SHC000662,Maharashtra,Aurangabad,Village_662,rice,208.59,54.06,88.81,5.74,0.14,0.14,10.17,1.25,9.74,0.87,6.06,1.11,24.4,72.5,1314.8,13.3795,82.3908,Black,Kharif,2024
SHC000663,Gujarat,Ahmedabad,Village_663,chickpea,86.69,36.66,44.24,7.15,0.6,0.84,13.91,0.44,2.71,0.34,2.15,0.67,17.4,59.1,279.7,24.1179,76.4355,Red,Rabi,2022
SHC000664,Gujarat,Vadodara,Village_664,sugarcane,377.05,89.2,177.74,7.17,0.87,1.22,19.65,2.0,8.87,1.35,7.6,0.71,27.4,88.4,1297.1,18.3693,85.6863,Laterite,Kharif,2024
SHC000665,Gujarat,Rajkot,Village_665,wheat,128.14,50.33,92.62,8.99,0.17,0.74,21.85,1.96,8.35,1.18,2.84,0.68,21.5,79.5,905.9,21.0839,94.868,Laterite,Zaid,2023
SHC000666,Rajasthan,Jaipur,Village_666,rice,209.29,63.14,100.76,6.01,0.66,0.52,12.64,1.13,5.34,0.67,3.48,0.99,23.3,85.8,900.7,24.5253,80.3883,Alluvial,Zaid,2024
SHC000667,Rajasthan,Jodhpur,Village_667,maize,261.77,45.38,81.26,6.49,0.26,2.04,25.0,1.65,11.6,1.34,8.23,1.54,21.3,89.2,545.0,33.9545,89.7545,Alluvial,Kharif,2024
SHC000668,Rajasthan,Udaipur,Village_668,wheat,149.67,46.89,98.72,7.68,0.1,1.11,13.5,1.62,7.25,0.88,3.01,0.6,17.3,44.0,527.5,34.0196,95.4569,Red,Rabi,2022
SHC000669,West Bengal,Kolkata,Village_669,rice,215.83,36.04,102.32,5.86,0.6,1.06,19.11,0.96,6.38,0.83,5.61,0.52,25.5,62.4,1429.4,8.178,74.4703,Alluvial,Kharif,2023
SHC000670,West Bengal,Darjeeling,Village_670,groundnut,39.96,14.64,33.83,5.24,0.54,1.38,9.54,1.55,10.34,0.65,5.28,0.92,25.8,73.3,805.1,34.9635,73.8343,Red,Rabi,2022
SHC000671,Tamil Nadu,Chennai,Village_671,maize,148.87,40.66,70.3,5.8,0.92,1.56,25.0,1.21,8.04,1.06,6.66,0.49,26.5,53.8,587.1,20.1556,74.621,Black,Zaid,2023
SHC000672,Tamil Nadu,Coimbatore,Village_672,rice,236.81,59.51,152.35,5.83,0.32,1.15,25.0,1.59,6.56,0.6,0.1,0.52,23.1,74.4,1118.8,33.4075,93.2694,Black,Zaid,2023
SHC000673,Karnataka,Bangalore,Village_673,lentil,62.54,20.11,41.23,7.05,0.51,0.93,15.03,0.81,5.95,0.33,3.58,0.27,24.5,70.7,355.3,29.9528,82.4205,Black,Rabi,2023
SHC000674,Karnataka,Mysore,Village_674,wheat,212.87,45.2,84.68,7.89,0.53,1.04,5.73,1.35,8.68,1.4,2.36,0.52,24.8,61.3,482.0,13.2781,72.3539,Laterite,Rabi,2024
SHC000675,Andhra Pradesh,Hyderabad,Village_675,lentil,59.68,10.0,25.14,5.52,0.18,1.13,3.88,0.85,4.48,0.32,0.91,0.16,14.4,26.6,199.7,24.7572,90.1132,Red,Kharif,2022
SHC000676,Andhra Pradesh,Visakhapatnam,Village_676,mustard,62.94,30.21,67.17,7.54,0.27,0.83,18.29,0.54,5.55,0.84,2.38,0.72,15.6,58.9,539.3,18.0643,89.6029,Red,Zaid,2022
SHC000677,Punjab,Ludhiana,Village_677,chickpea,80.91,32.56,32.71,7.21,0.58,0.73,10.43,0.35,5.18,0.34,2.9,0.43,23.2,57.7,437.5,18.3796,86.7954,Black,Rabi,2022
SHC000678,Punjab,Amritsar,Village_678,maize,248.74,59.96,53.03,7.81,0.55,1.59,12.45,1.29,10.29,0.93,4.37,0.93,24.1,87.3,706.7,30.3589,90.9547,Laterite,Kharif,2022
SHC000679,Punjab,Patiala,Village_679,groundnut,63.04,22.27,80.55,6.54,0.5,1.2,25.0,1.31,10.39,0.27,6.8,0.82,25.4,68.4,899.4,33.6533,80.4328,Laterite,Rabi,2024
SHC000680,Haryana,Karnal,Village_680,cotton,115.87,46.01,38.52,7.9,1.38,0.65,7.94,0.74,5.16,0.66,2.81,0.65,30.0,65.1,818.1,25.8875,77.5041,Black,Kharif,2024
SHC000681,Haryana,Ambala,Village_681,wheat,166.53,40.18,88.5,6.69,0.47,0.67,11.28,0.91,7.84,0.72,2.95,0.65,20.1,75.2,450.4,15.2527,84.4376,Red,Zaid,2023
SHC000682,Haryana,Kurukshetra,Village_682,cotton,92.49,42.88,32.15,6.9,0.59,0.87,12.07,0.97,8.03,0.13,3.78,0.51,27.3,46.7,549.0,24.5065,83.162,Black,Zaid,2023
SHC000683,Uttar Pradesh,Meerut,Village_683,maize,251.54,81.27,80.78,6.68,0.47,0.88,12.01,1.76,13.15,1.17,4.31,1.02,22.4,65.3,545.3,24.7526,91.0457,Red,Zaid,2023
SHC000684,Uttar Pradesh,Agra,Village_684,lentil,79.18,18.93,34.05,7.05,0.49,0.62,6.51,0.3,3.56,0.49,1.71,0.48,20.3,58.8,321.8,20.9376,73.4061,Red,Zaid,2024
SHC000685,Uttar Pradesh,Muzaffarnagar,Village_685,banana,177.92,38.23,258.49,4.8,0.19,1.39,21.76,1.36,13.02,1.35,8.72,1.63,22.8,70.5,1546.9,14.3978,89.5728,Red,Zaid,2022
SHC000686,Maharashtra,Pune,Village_686,rice,257.15,81.76,149.78,4.5,0.38,1.05,12.69,0.73,5.18,1.02,1.32,0.47,25.2,55.1,795.9,24.718,75.135,Alluvial,Zaid,2023
SHC000687,Maharashtra,Nagpur,Village_687,rice,181.27,46.59,115.48,5.05,0.49,0.37,25.0,1.45,6.64,0.71,5.19,0.67,24.6,54.2,697.4,34.4036,82.8461,Black,Rabi,2024
SHC000688,Maharashtra,Aurangabad,Village_688,maize,137.53,63.37,65.63,4.7,0.16,0.84,19.79,0.94,11.12,1.06,4.61,0.42,24.7,25.0,645.1,17.1498,92.596,Red,Kharif,2023
SHC000689,Gujarat,Ahmedabad,Village_689,wheat,158.89,38.6,44.19,7.71,0.51,0.66,18.28,0.7,4.31,0.51,1.99,0.69,20.4,71.2,150.0,23.2982,68.651,Black,Zaid,2023
SHC000690,Gujarat,Vadodara,Village_690,rice,180.42,34.01,147.89,6.4,0.53,0.76,13.29,1.45,10.27,1.43,3.26,0.24,26.9,67.8,1169.0,33.5125,85.9544,Laterite,Rabi,2022
SHC000691,Gujarat,Rajkot,Village_691,lentil,75.79,16.62,11.11,5.14,0.45,0.67,12.94,0.47,6.67,0.32,1.26,0.17,18.0,31.0,236.0,8.9414,70.6271,Black,Rabi,2024
SHC000692,Rajasthan,Jaipur,Village_692,sugarcane,246.85,109.41,196.6,6.67,0.61,1.63,24.89,2.23,9.84,1.09,8.36,1.48,22.3,77.3,1917.2,9.6519,78.8582,Laterite,Zaid,2022
SHC000693,Rajasthan,Jodhpur,Village_693,banana,247.61,59.42,377.21,7.14,0.73,2.05,25.0,2.0,20.99,1.65,6.1,0.85,26.0,79.1,1824.9,24.5026,90.8069,Laterite,Kharif,2023
SHC000694,Rajasthan,Udaipur,Village_694,rice,199.63,32.16,146.68,6.08,0.61,0.91,17.5,0.24,10.81,1.1,6.27,0.95,24.6,60.1,709.9,25.9759,91.4749,Red,Kharif,2024
SHC000695,West Bengal,Kolkata,Village_695,mustard,121.27,37.36,37.37,7.54,0.43,0.92,21.0,0.94,5.99,0.32,3.31,0.5,21.9,68.5,552.5,23.2982,88.9951,Alluvial,Kharif,2024
SHC000696,West Bengal,Darjeeling,Village_696,banana,192.77,63.81,323.02,5.88,0.66,1.31,22.37,1.72,20.26,0.98,5.38,1.14,24.8,83.4,1898.8,23.1701,70.2423,Black,Zaid,2024
SHC000697,Tamil Nadu,Chennai,Village_697,cotton,117.42,56.22,49.63,6.64,1.15,0.71,7.77,0.23,4.14,0.32,0.94,0.26,28.3,45.4,632.4,19.5189,77.71,Black,Zaid,2022
SHC000698,Tamil Nadu,Coimbatore,Village_698,rice,178.88,56.98,209.54,6.73,1.02,1.01,25.0,1.66,4.23,0.9,2.12,1.31,29.9,67.7,1552.7,14.6889,79.8516,Red,Zaid,2024
SHC000699,Karnataka,Bangalore,Village_699,rice,124.34,20.43,201.4,5.62,0.51,0.39,9.46,1.5,9.13,1.7,6.01,0.73,27.4,71.8,1816.4,31.6266,91.7099,Alluvial,Rabi,2022
SHC000700,Karnataka,Mysore,Village_700,maize,225.96,84.93,57.54,5.7,0.83,1.44,22.58,2.11,7.78,1.25,5.77,1.45,17.2,92.5,826.1,11.9641,88.2568,Alluvial,Rabi,2022
SHC000701,Andhra Pradesh,Hyderabad,Village_701,rice,200.22,32.57,159.01,7.1,0.76,0.79,25.0,0.74,4.57,1.15,2.78,0.61,30.0,81.6,1088.5,25.7961,80.7533,Alluvial,Zaid,2022
SHC000702,Andhra Pradesh,Visakhapatnam,Village_702,sugarcane,152.49,78.36,109.11,6.11,0.1,1.91,25.0,2.23,16.53,1.46,9.38,0.87,26.7,72.8,1834.2,17.956,91.8588,Laterite,Zaid,2023
SHC000703,Punjab,Ludhiana,Village_703,wheat,158.52,19.8,102.93,8.65,0.48,0.65,24.05,1.0,6.29,1.65,2.9,0.87,26.2,77.9,776.4,19.0164,96.4724,Black,Kharif,2024
SHC000704,Punjab,Amritsar,Village_704,rice,218.82,44.95,152.63,7.5,0.35,0.96,25.0,1.09,10.86,1.23,7.5,0.37,17.3,63.8,1251.8,18.456,80.9623,Laterite,Kharif,2023
SHC000705,Punjab,Patiala,Village_705,chickpea,45.93,29.14,20.75,5.77,0.16,0.6,8.87,1.12,4.23,0.32,2.09,0.43,25.8,38.4,311.7,20.9986,77.241,Laterite,Zaid,2023
SHC000706,Haryana,Karnal,Village_706,maize,196.49,48.19,48.81,5.87,0.37,1.18,20.56,1.59,3.88,0.28,4.04,0.55,25.9,51.0,553.0,34.5551,73.9573,Laterite,Rabi,2023
SHC000707,Haryana,Ambala,Village_707,groundnut,55.31,31.17,96.1,4.65,0.64,0.76,23.67,1.32,1.75,1.0,5.97,0.71,27.4,63.9,979.3,23.8491,86.4125,Red,Rabi,2022
SHC000708,Haryana,Kurukshetra,Village_708,wheat,126.11,50.86,89.12,7.97,0.41,0.86,13.66,0.91,3.92,0.83,2.21,0.69,20.7,64.3,935.0,33.1807,81.8747,Laterite,Rabi,2023
SHC000709,Uttar Pradesh,Meerut,Village_709,rice,249.42,49.9,174.27,5.35,0.7,1.28,25.0,0.56,4.61,1.69,6.92,0.78,24.6,76.6,1373.7,11.5316,84.8935,Laterite,Kharif,2023
SHC000710,Uttar Pradesh,Agra,Village_710,lentil,48.36,26.96,34.81,5.67,0.48,0.75,5.36,0.78,4.28,0.29,0.97,0.35,17.5,61.4,379.9,24.6611,84.0512,Laterite,Zaid,2024
SHC000711,Uttar Pradesh,Muzaffarnagar,Village_711,rice,271.74,52.24,141.91,7.42,0.57,0.96,25.0,1.2,9.8,1.38,5.7,0.82,32.3,95.0,1732.2,12.4089,95.0164,Alluvial,Rabi,2022
SHC000712,Maharashtra,Pune,Village_712,wheat,177.15,67.77,82.72,8.83,0.38,1.03,19.69,1.36,5.5,1.08,3.12,0.88,20.5,76.6,714.3,23.6571,86.3448,Alluvial,Zaid,2022
SHC000713,Maharashtra,Nagpur,Village_713,sugarcane,268.67,67.52,102.54,5.25,1.12,1.36,24.52,1.58,13.18,0.78,4.9,1.0,18.7,62.3,2114.6,16.9357,82.7975,Laterite,Rabi,2024
SHC000714,Maharashtra,Aurangabad,Village_714,rice,118.25,51.83,118.12,4.95,0.1,0.57,13.64,1.06,5.2,0.39,2.02,1.0,21.2,66.1,690.3,9.658,94.6491,Laterite,Rabi,2023
SHC000715,Gujarat,Ahmedabad,Village_715,wheat,175.96,39.64,104.84,8.22,0.57,0.84,20.3,1.78,8.25,1.29,3.31,0.9,28.0,75.7,705.0,33.94,81.7345,Alluvial,Kharif,2023
SHC000716,Gujarat,Vadodara,Village_716,rice,125.25,46.78,181.49,5.41,0.78,1.16,17.81,0.92,7.46,0.61,4.39,0.97,30.8,78.0,1317.4,11.0271,79.051,Red,Kharif,2024
SHC000717,Gujarat,Rajkot,Village_717,maize,216.04,69.75,43.87,4.93,0.45,1.33,5.99,0.98,9.23,1.05,3.36,0.72,21.3,47.1,360.5,17.1878,82.9128,Black,Kharif,2022
SHC000718,Rajasthan,Jaipur,Village_718,wheat,106.44,20.62,52.95,5.11,0.61,0.66,1.26,0.97,8.24,0.79,3.59,0.62,20.0,62.1,670.8,15.294,83.7308,Laterite,Kharif,2022
SHC000719,Rajasthan,Jodhpur,Village_719,maize,78.98,53.48,86.23,5.78,0.82,1.36,25.0,1.97,9.88,1.66,4.7,1.1,24.4,53.9,448.0,23.0065,91.4289,Black,Kharif,2024
SHC000720,Rajasthan,Udaipur,Village_720,maize,203.01,61.87,53.26,6.34,0.59,0.97,17.32,1.61,7.47,0.96,3.59,0.98,28.8,83.1,541.1,32.5596,68.7261,Laterite,Kharif,2022
SHC000721,West Bengal,Kolkata,Village_721,banana,136.05,53.14,228.19,6.69,1.35,1.74,16.37,1.92,17.37,0.93,2.84,1.03,25.9,82.7,2123.2,15.2213,82.8941,Laterite,Rabi,2024
SHC000722,West Bengal,Darjeeling,Village_722,rice,225.86,31.17,129.45,7.1,0.12,0.8,15.51,1.19,7.19,0.4,3.4,0.77,21.9,81.9,1475.8,31.2415,68.2779,Black,Rabi,2023
SHC000723,Tamil Nadu,Chennai,Village_723,groundnut,49.99,22.59,82.05,5.04,0.1,0.98,22.64,0.9,6.2,0.83,1.37,0.68,19.7,55.9,664.9,31.0639,96.9506,Laterite,Zaid,2024
SHC000724,Tamil Nadu,Coimbatore,Village_724,rice,186.54,34.01,44.03,4.5,0.37,1.09,8.62,0.22,7.73,0.77,0.62,0.14,16.8,59.2,1376.8,25.6809,73.4889,Laterite,Rabi,2024
SHC000725,Karnataka,Bangalore,Village_725,mustard,133.98,21.84,51.93,6.89,0.61,0.68,3.04,1.1,5.7,0.56,3.76,0.59,12.7,45.7,314.5,12.5522,68.5381,Alluvial,Zaid,2022
SHC000726,Karnataka,Mysore,Village_726,rice,319.65,57.51,130.38,6.46,0.4,1.58,25.0,1.82,6.25,1.42,3.53,0.83,33.2,64.6,1261.0,30.6984,90.8218,Alluvial,Zaid,2023
SHC000727,Andhra Pradesh,Hyderabad,Village_727,groundnut,80.86,19.89,42.2,7.08,0.24,0.5,7.49,1.92,10.63,0.76,2.87,0.82,30.6,67.6,682.1,33.3309,70.2215,Red,Rabi,2022
SHC000728,Andhra Pradesh,Visakhapatnam,Village_728,wheat,174.05,34.88,57.08,6.31,0.39,0.73,11.67,0.71,8.85,0.44,2.83,0.82,23.2,63.5,475.3,11.6588,82.3236,Red,Rabi,2022
SHC000729,Punjab,Ludhiana,Village_729,sugarcane,342.94,82.14,211.7,8.22,1.27,2.37,25.0,2.86,18.09,2.02,4.92,2.12,39.0,94.1,1651.7,17.2361,94.9914,Black,Zaid,2023
SHC000730,Punjab,Amritsar,Village_730,sugarcane,286.74,138.97,196.25,7.3,0.68,1.26,25.0,1.58,8.3,2.21,7.6,1.8,31.4,75.2,884.1,24.0006,69.0419,Laterite,Rabi,2024
SHC000731,Punjab,Patiala,Village_731,lentil,78.71,32.0,33.64,7.31,0.43,0.89,9.44,0.82,2.94,0.46,2.6,0.33,14.5,41.0,284.5,32.0847,93.2063,Laterite,Rabi,2022
SHC000732,Haryana,Karnal,Village_732,lentil,68.32,27.48,28.31,7.62,0.21,0.87,7.42,0.69,5.01,0.18,1.34,0.37,20.0,56.9,260.3,32.6134,78.1245,Red,Kharif,2022
SHC000733,Haryana,Ambala,Village_733,rice,188.48,51.07,206.39,5.55,0.44,1.21,15.47,1.56,9.25,1.02,3.5,1.04,26.2,72.7,1446.6,10.3008,69.349,Laterite,Rabi,2023
SHC000734,Haryana,Kurukshetra,Village_734,sugarcane,225.66,109.25,191.63,9.0,1.39,1.99,10.66,2.62,9.46,1.94,9.75,1.72,36.2,93.0,1190.2,12.0129,69.2161,Laterite,Rabi,2023
SHC000735,Uttar Pradesh,Meerut,Village_735,rice,318.95,38.91,222.4,6.27,0.25,0.88,19.69,1.03,7.18,1.23,4.55,1.01,32.6,70.3,1534.2,34.022,96.0321,Alluvial,Zaid,2022
SHC000736,Uttar Pradesh,Agra,Village_736,banana,229.68,36.56,274.03,6.11,0.21,1.84,17.14,1.1,7.41,0.78,7.9,1.09,22.2,62.4,1649.1,14.4887,84.6666,Black,Kharif,2022
SHC000737,Uttar Pradesh,Muzaffarnagar,Village_737,sugarcane,193.76,40.22,78.08,6.28,0.84,1.01,12.45,1.34,4.7,0.97,8.93,1.06,20.5,69.4,828.0,23.6572,79.1281,Laterite,Kharif,2022
SHC000738,Maharashtra,Pune,Village_738,wheat,127.83,43.71,84.87,6.39,0.54,0.87,8.6,0.74,8.28,0.89,2.44,0.43,17.9,53.3,430.8,24.0023,78.3937,Red,Kharif,2023
SHC000739,Maharashtra,Nagpur,Village_739,banana,199.49,78.03,406.31,7.76,1.08,2.43,25.0,1.59,17.68,2.01,14.63,1.53,31.5,95.0,1786.7,20.7422,74.8209,Laterite,Rabi,2024
SHC000740,Maharashtra,Aurangabad,Village_740,groundnut,43.69,28.49,38.03,4.5,0.46,0.82,10.19,0.53,8.81,0.81,1.5,0.58,20.0,58.4,828.0,14.0098,69.1632,Alluvial,Kharif,2022
SHC000741,Gujarat,Ahmedabad,Village_741,maize,198.83,74.82,71.7,6.18,0.26,1.35,25.0,1.45,15.47,0.92,7.66,1.01,17.7,62.8,793.9,20.6369,74.19,Laterite,Kharif,2023
SHC000742,Gujarat,Vadodara,Village_742,banana,181.75,42.85,250.68,7.12,0.91,1.4,18.19,2.21,6.84,1.73,10.08,0.36,26.0,75.1,1438.5,33.9196,90.2746,Red,Rabi,2024
SHC000743,Gujarat,Rajkot,Village_743,rice,245.77,48.93,172.18,5.84,0.79,0.81,14.47,2.14,6.5,0.19,5.59,1.21,23.8,54.1,1183.4,32.6445,85.6515,Alluvial,Kharif,2022
SHC000744,Rajasthan,Jaipur,Village_744,banana,303.62,64.24,262.9,7.3,0.98,2.05,25.0,1.96,20.94,1.79,12.0,1.52,27.1,91.7,1612.9,22.162,68.3817,Alluvial,Zaid,2024
SHC000745,Rajasthan,Jodhpur,Village_745,maize,291.37,77.27,65.0,7.25,0.92,1.98,25.0,1.31,12.61,1.78,3.99,1.51,27.2,75.4,821.5,10.2579,91.3314,Laterite,Kharif,2022
SHC000746,Rajasthan,Udaipur,Village_746,rice,213.42,24.81,98.15,5.42,0.7,1.07,18.16,1.14,5.71,0.75,4.48,0.72,17.6,71.0,777.6,12.4196,83.6459,Alluvial,Rabi,2024
SHC000747,West Bengal,Kolkata,Village_747,rice,151.18,73.09,134.6,7.15,0.74,0.71,16.66,0.76,3.97,0.9,2.2,0.75,34.7,82.0,1032.9,25.8564,81.5938,Black,Rabi,2022
SHC000748,West Bengal,Darjeeling,Village_748,rice,168.06,44.34,202.59,5.78,0.25,1.03,7.01,1.09,11.53,1.35,3.78,1.3,34.5,81.6,759.7,23.5496,79.5087,Red,Kharif,2024
SHC000749,Tamil Nadu,Chennai,Village_749,chickpea,65.63,21.92,43.36,6.77,0.14,0.57,7.78,0.81,6.49,0.3,1.94,0.47,24.1,44.9,461.9,13.7974,79.7401,Laterite,Rabi,2023
SHC000750,Tamil Nadu,Coimbatore,Village_750,rice,221.0,12.04,239.79,5.65,0.84,0.78,25.0,0.85,4.42,0.92,3.2,0.98,24.7,81.3,1112.7,14.1792,73.5381,Laterite,Zaid,2023
SHC000751,Karnataka,Bangalore,Village_751,rice,225.6,31.93,193.86,7.5,0.79,1.11,25.0,0.67,6.51,1.57,5.07,1.1,27.0,82.7,1312.9,17.4661,94.4301,Red,Rabi,2023
SHC000752,Karnataka,Mysore,Village_752,banana,211.88,54.01,338.33,7.01,0.93,2.48,25.0,1.58,20.2,1.66,7.3,2.05,26.1,91.4,2318.8,8.8365,76.0589,Alluvial,Kharif,2024
SHC000753,Andhra Pradesh,Hyderabad,Village_753,sugarcane,132.03,36.68,106.91,5.77,0.85,1.46,25.0,1.18,14.33,1.52,3.97,0.81,20.4,53.7,1466.4,32.9872,69.7003,Laterite,Rabi,2024
SHC000754,Andhra Pradesh,Visakhapatnam,Village_754,wheat,136.66,36.81,20.64,4.93,0.63,0.1,11.36,1.26,8.62,0.88,3.57,0.29,12.5,73.7,427.2,10.5333,95.5015,Black,Rabi,2024
SHC000755,Punjab,Ludhiana,Village_755,lentil,20.28,10.0,31.03,5.29,0.17,0.72,4.06,0.49,2.53,0.45,0.1,0.18,19.3,38.0,289.6,25.7557,82.8382,Black,Kharif,2023
SHC000756,Punjab,Amritsar,Village_756,sugarcane,350.17,74.24,239.07,7.02,0.14,1.67,21.96,1.39,8.66,1.72,8.52,1.39,29.9,83.8,1540.5,13.1731,95.358,Laterite,Rabi,2023
SHC000757,Punjab,Patiala,Village_757,rice,238.62,12.57,168.87,5.54,0.81,0.62,25.0,0.81,8.97,0.81,5.69,0.74,21.4,89.0,1116.0,34.1087,90.2489,Alluvial,Kharif,2024
SHC000758,Haryana,Karnal,Village_758,sugarcane,281.31,110.94,196.97,7.08,1.59,0.57,21.85,1.8,15.43,1.85,4.27,1.6,26.8,89.7,1086.9,9.2179,79.1813,Red,Kharif,2022
SHC000759,Haryana,Ambala,Village_759,banana,227.26,63.3,316.89,6.25,0.6,1.81,25.0,1.73,15.1,0.69,10.0,1.59,28.0,85.0,1278.5,32.7431,79.2501,Black,Zaid,2022
SHC000760,Haryana,Kurukshetra,Village_760,banana,142.08,23.96,204.96,4.5,0.7,1.62,16.11,1.1,8.53,1.29,1.62,1.0,17.7,71.8,1339.1,29.2681,86.1508,Alluvial,Kharif,2024
SHC000761,Uttar Pradesh,Meerut,Village_761,wheat,158.37,41.22,91.84,6.71,0.31,0.61,21.52,0.93,4.55,1.03,2.66,0.39,16.5,61.4,385.5,10.1691,73.5346,Laterite,Rabi,2024
SHC000762,Uttar Pradesh,Agra,Village_762,groundnut,58.72,19.51,70.24,6.36,0.63,1.0,13.31,1.12,6.9,0.9,3.35,0.67,22.9,72.4,901.2,24.687,88.4613,Black,Kharif,2024
SHC000763,Uttar Pradesh,Muzaffarnagar,Village_763,rice,256.66,24.7,113.36,6.98,0.14,1.25,16.38,0.89,6.48,0.55,5.36,0.84,29.5,86.8,1362.3,29.4315,68.968,Red,Zaid,2023
SHC000764,Maharashtra,Pune,Village_764,banana,127.36,48.67,265.62,6.89,0.18,1.64,25.0,1.9,8.53,0.8,6.82,1.47,29.1,80.6,1652.1,24.5014,87.3216,Black,Rabi,2024
SHC000765,Maharashtra,Nagpur,Village_765,rice,126.76,56.99,170.4,6.63,0.89,0.75,17.13,0.25,17.42,0.94,5.56,0.43,30.0,93.6,1181.9,17.6181,82.2401,Red,Kharif,2022
SHC000766,Maharashtra,Aurangabad,Village_766,rice,109.46,23.38,148.66,6.32,0.15,0.95,10.35,1.17,12.08,0.43,3.43,0.39,19.4,66.2,870.5,23.5124,89.5384,Black,Zaid,2022
SHC000767,Gujarat,Ahmedabad,Village_767,maize,160.58,59.91,44.93,7.38,0.6,1.45,17.34,1.78,12.39,1.48,7.86,0.83,24.3,54.9,635.6,34.6059,69.6483,Laterite,Zaid,2023
SHC000768,Gujarat,Vadodara,Village_768,wheat,159.92,21.46,66.7,6.52,0.92,0.58,15.29,0.81,6.05,0.7,3.81,0.69,23.1,48.7,815.9,14.1491,79.7955,Black,Zaid,2022
SHC000769,Gujarat,Rajkot,Village_769,maize,208.72,73.7,59.25,8.24,0.48,1.18,25.0,2.14,8.35,1.72,2.76,1.3,25.5,68.4,1040.7,13.9952,95.9979,Red,Zaid,2022
SHC000770,Rajasthan,Jaipur,Village_770,rice,110.59,43.54,136.36,5.24,0.74,0.7,24.6,1.7,7.25,0.36,1.39,0.77,14.5,46.6,1225.1,34.6128,69.8608,Red,Kharif,2024
SHC000771,Rajasthan,Jodhpur,Village_771,wheat,122.78,30.05,54.32,5.38,0.97,0.97,16.22,0.43,4.65,0.84,3.15,0.74,13.4,47.4,329.0,14.0614,95.4998,Alluvial,Kharif,2024
SHC000772,Rajasthan,Udaipur,Village_772,wheat,180.04,23.68,70.32,6.56,0.14,0.46,10.77,1.06,5.99,0.65,3.2,0.81,21.6,58.2,785.6,9.3102,73.4601,Red,Kharif,2023
SHC000773,West Bengal,Kolkata,Village_773,wheat,182.23,25.56,57.7,6.97,0.39,0.98,17.51,0.96,9.4,0.66,2.0,0.69,19.9,63.7,747.6,22.2894,88.4472,Black,Zaid,2022
SHC000774,West Bengal,Darjeeling,Village_774,rice,190.75,34.48,130.79,4.72,0.66,1.32,25.0,1.35,5.7,0.32,5.56,0.26,23.3,72.8,1179.2,34.5019,86.1192,Red,Zaid,2022
SHC000775,Tamil Nadu,Chennai,Village_775,maize,139.46,79.36,90.94,8.23,0.54,1.44,25.0,2.19,13.51,1.67,4.9,0.51,34.2,66.6,754.3,33.4216,82.9863,Laterite,Zaid,2022
SHC000776,Tamil Nadu,Coimbatore,Village_776,rice,280.39,62.58,226.08,6.37,0.65,1.02,16.91,1.46,12.04,0.96,5.29,0.69,24.8,86.8,1360.7,14.298,86.6275,Black,Zaid,2022
SHC000777,Karnataka,Bangalore,Village_777,wheat,128.79,29.49,79.48,7.46,0.53,0.99,19.44,0.72,5.33,1.33,2.46,0.97,18.3,29.3,550.5,18.8996,85.6437,Laterite,Rabi,2024
SHC000778,Karnataka,Mysore,Village_778,mustard,121.16,34.61,37.9,5.29,0.58,0.77,10.1,0.62,6.32,1.08,2.59,0.72,17.6,52.1,538.2,21.6976,71.7571,Alluvial,Rabi,2022
SHC000779,Andhra Pradesh,Hyderabad,Village_779,wheat,140.35,22.37,43.76,6.79,0.24,1.07,12.25,0.69,9.34,0.94,5.72,0.22,20.8,67.3,605.6,24.9889,96.845,Black,Zaid,2022
